0.46949,-0.84185,-27.703,1.08,2.8791,3.459,6.2026,6.3869,75.221
2.6861,0.14119,-18.919,3.7081,2.8589,4.0569,5.7789,6.2828,75.495
4.9027,1.1242,-10.135,6.3363,2.8387,4.6547,5.3553,6.1786,75.77
0.46949,1.9284,-23.24,1.0469,3.4695,5.8252,6.1629,7.0523,76.349
2.6861,2.9115,-14.456,3.675,3.4493,6.4231,5.7393,6.9481,76.623
4.9027,3.8945,-5.6718,6.3032,3.4291,7.0209,5.3156,6.8439,76.898
0.46949,4.6987,-18.776,1.0138,4.0599,8.1914,6.1233,7.7176,77.477
2.6861,5.6817,-9.9925,3.6419,4.0397,8.7893,5.6996,7.6134,77.751
4.9027,6.6648,-1.2085,6.2701,4.0195,9.3871,5.2759,7.5093,78.026
0.46949,-0.84185,-3.2771,1.1471,2.5959,3.2057,6.462,6.3987,75.267
2.6861,0.14119,5.5069,3.7753,2.5757,3.8036,6.0383,6.2945,75.542
4.9027,1.1242,14.291,6.4034,2.5555,4.4015,5.6146,6.1903,75.816
0.46949,1.9284,1.1862,1.114,3.1863,5.5719,6.4223,7.064,76.395
2.6861,2.9115,9.9702,3.7422,3.1661,6.1698,5.9986,6.9598,76.67
4.9027,3.8945,18.754,6.3703,3.1459,6.7677,5.575,6.8556,76.944
0.46949,4.6987,5.6494,1.0809,3.7768,7.9381,6.3826,7.7293,77.523
2.6861,5.6817,14.433,3.7091,3.7565,8.536,5.959,7.6251,77.798
4.9027,6.6648,23.217,6.3373,3.7363,9.1339,5.5353,7.521,78.072
0.46949,-0.84185,21.149,1.2142,2.3128,2.9524,6.7213,6.4104,75.313
2.6861,0.14119,29.933,3.8424,2.2925,3.5503,6.2977,6.3062,75.588
4.9027,1.1242,38.717,6.4706,2.2723,4.1482,5.874,6.202,75.862
0.46949,1.9284,25.612,1.1811,2.9032,5.3186,6.6817,7.0757,76.442
2.6861,2.9115,34.396,3.8093,2.883,5.9165,6.258,6.9715,76.716
4.9027,3.8945,43.18,6.4375,2.8627,6.5144,5.8343,6.8673,76.991
0.46949,4.6987,30.075,1.148,3.4936,7.6848,6.642,7.741,77.57
2.6861,5.6817,38.859,3.7762,3.4734,8.2827,6.2183,7.6369,77.844
4.9027,6.6648,47.643,6.4044,3.4532,8.8806,5.7947,7.5327,78.119
